VTX, IDX, inPos.x, inPos.y, inUV.x, inUV.y, inColor.x, inColor.y, inColor.z
0, 74,  68.00,  90.00,  0.14453,  0.4375,  1.00,  1.00,  1.00
1, 75,  75.00,  90.00,  0.1582,  0.4375,  1.00,  1.00,  1.00
2, 76,  75.00,  98.00,  0.1582,  0.5625,  1.00,  1.00,  1.00
3, 74,  68.00,  90.00,  0.14453,  0.4375,  1.00,  1.00,  1.00
4, 76,  75.00,  98.00,  0.1582,  0.5625,  1.00,  1.00,  1.00
5, 77,  68.00,  98.00,  0.14453,  0.5625,  1.00,  1.00,  1.00
6, 78,  76.00,  92.00,  0.67773,  0.51563,  1.00,  1.00,  1.00
7, 79,  81.00,  92.00,  0.6875,  0.51563,  1.00,  1.00,  1.00
8, 80,  81.00,  98.00,  0.6875,  0.60938,  1.00,  1.00,  1.00
9, 78,  76.00,  92.00,  0.67773,  0.51563,  1.00,  1.00,  1.00
10, 80,  81.00,  98.00,  0.6875,  0.60938,  1.00,  1.00,  1.00
11, 81,  76.00,  98.00,  0.67773,  0.60938,  1.00,  1.00,  1.00
12, 82,  83.00,  92.00,  0.70117,  0.51563,  1.00,  1.00,  1.00
13, 83,  88.00,  92.00,  0.71094,  0.51563,  1.00,  1.00,  1.00
14, 84,  88.00,  98.00,  0.71094,  0.60938,  1.00,  1.00,  1.00
15, 82,  83.00,  92.00,  0.70117,  0.51563,  1.00,  1.00,  1.00
16, 84,  88.00,  98.00,  0.71094,  0.60938,  1.00,  1.00,  1.00
17, 85,  83.00,  98.00,  0.70117,  0.60938,  1.00,  1.00,  1.00
18, 86,  91.00,  90.00,  0.85352,  0.50,  1.00,  1.00,  1.00
19, 87,  95.00,  90.00,  0.86133,  0.50,  1.00,  1.00,  1.00
20, 88,  95.00,  98.00,  0.86133,  0.625,  1.00,  1.00,  1.00
21, 86,  91.00,  90.00,  0.85352,  0.50,  1.00,  1.00,  1.00
22, 88,  95.00,  98.00,  0.86133,  0.625,  1.00,  1.00,  1.00
23, 89,  91.00,  98.00,  0.85352,  0.625,  1.00,  1.00,  1.00
24, 90,  103.00,  90.00,  0.14453,  0.4375,  1.00,  1.00,  1.00
25, 91,  110.00,  90.00,  0.1582,  0.4375,  1.00,  1.00,  1.00
26, 92,  110.00,  98.00,  0.1582,  0.5625,  1.00,  1.00,  1.00
27, 90,  103.00,  90.00,  0.14453,  0.4375,  1.00,  1.00,  1.00
28, 92,  110.00,  98.00,  0.1582,  0.5625,  1.00,  1.00,  1.00
29, 93,  103.00,  98.00,  0.14453,  0.5625,  1.00,  1.00,  1.00
30, 94,  111.00,  92.00,  0.67773,  0.51563,  1.00,  1.00,  1.00
31, 95,  116.00,  92.00,  0.6875,  0.51563,  1.00,  1.00,  1.00
32, 96,  116.00,  98.00,  0.6875,  0.60938,  1.00,  1.00,  1.00
33, 94,  111.00,  92.00,  0.67773,  0.51563,  1.00,  1.00,  1.00
34, 96,  116.00,  98.00,  0.6875,  0.60938,  1.00,  1.00,  1.00
35, 97,  111.00,  98.00,  0.67773,  0.60938,  1.00,  1.00,  1.00
36, 98,  118.00,  92.00,  0.14063,  0.57813,  1.00,  1.00,  1.00
37, 99,  123.00,  92.00,  0.15039,  0.57813,  1.00,  1.00,  1.00
38, 100,  123.00,  98.00,  0.15039,  0.67188,  1.00,  1.00,  1.00
39, 98,  118.00,  92.00,  0.14063,  0.57813,  1.00,  1.00,  1.00
40, 100,  123.00,  98.00,  0.15039,  0.67188,  1.00,  1.00,  1.00
41, 101,  118.00,  98.00,  0.14063,  0.67188,  1.00,  1.00,  1.00
42, 102,  126.00,  90.00,  0.85352,  0.50,  1.00,  1.00,  1.00
43, 103,  130.00,  90.00,  0.86133,  0.50,  1.00,  1.00,  1.00
44, 104,  130.00,  98.00,  0.86133,  0.625,  1.00,  1.00,  1.00
45, 102,  126.00,  90.00,  0.85352,  0.50,  1.00,  1.00,  1.00
46, 104,  130.00,  98.00,  0.86133,  0.625,  1.00,  1.00,  1.00
47, 105,  126.00,  98.00,  0.85352,  0.625,  1.00,  1.00,  1.00
