VTX, IDX, inPos.x, inPos.y, inUV.x, inUV.y, inColor.x, inColor.y, inColor.z, inColor.w
0, 146,  68.00,  90.00,  0.4375,  0.20313,  1.00,  1.00,  1.00,  1.00
1, 147,  75.00,  90.00,  0.45117,  0.20313,  1.00,  1.00,  1.00,  1.00
2, 148,  75.00,  98.00,  0.45117,  0.32813,  1.00,  1.00,  1.00,  1.00
3, 146,  68.00,  90.00,  0.4375,  0.20313,  1.00,  1.00,  1.00,  1.00
4, 148,  75.00,  98.00,  0.45117,  0.32813,  1.00,  1.00,  1.00,  1.00
5, 149,  68.00,  98.00,  0.4375,  0.32813,  1.00,  1.00,  1.00,  1.00
6, 150,  76.00,  92.00,  0.23438,  0.4375,  1.00,  1.00,  1.00,  1.00
7, 151,  81.00,  92.00,  0.24414,  0.4375,  1.00,  1.00,  1.00,  1.00
8, 152,  81.00,  98.00,  0.24414,  0.53125,  1.00,  1.00,  1.00,  1.00
9, 150,  76.00,  92.00,  0.23438,  0.4375,  1.00,  1.00,  1.00,  1.00
10, 152,  81.00,  98.00,  0.24414,  0.53125,  1.00,  1.00,  1.00,  1.00
11, 153,  76.00,  98.00,  0.23438,  0.53125,  1.00,  1.00,  1.00,  1.00
12, 154,  83.00,  92.00,  0.29297,  0.4375,  1.00,  1.00,  1.00,  1.00
13, 155,  88.00,  92.00,  0.30273,  0.4375,  1.00,  1.00,  1.00,  1.00
14, 156,  88.00,  98.00,  0.30273,  0.53125,  1.00,  1.00,  1.00,  1.00
15, 154,  83.00,  92.00,  0.29297,  0.4375,  1.00,  1.00,  1.00,  1.00
16, 156,  88.00,  98.00,  0.30273,  0.53125,  1.00,  1.00,  1.00,  1.00
17, 157,  83.00,  98.00,  0.29297,  0.53125,  1.00,  1.00,  1.00,  1.00
18, 158,  91.00,  90.00,  0.99023,  0.32813,  1.00,  1.00,  1.00,  1.00
19, 159,  95.00,  90.00,  0.99805,  0.32813,  1.00,  1.00,  1.00,  1.00
20, 160,  95.00,  98.00,  0.99805,  0.45313,  1.00,  1.00,  1.00,  1.00
21, 158,  91.00,  90.00,  0.99023,  0.32813,  1.00,  1.00,  1.00,  1.00
22, 160,  95.00,  98.00,  0.99805,  0.45313,  1.00,  1.00,  1.00,  1.00
23, 161,  91.00,  98.00,  0.99023,  0.45313,  1.00,  1.00,  1.00,  1.00
24, 162,  103.00,  90.00,  0.4375,  0.20313,  1.00,  1.00,  1.00,  1.00
25, 163,  110.00,  90.00,  0.45117,  0.20313,  1.00,  1.00,  1.00,  1.00
26, 164,  110.00,  98.00,  0.45117,  0.32813,  1.00,  1.00,  1.00,  1.00
27, 162,  103.00,  90.00,  0.4375,  0.20313,  1.00,  1.00,  1.00,  1.00
28, 164,  110.00,  98.00,  0.45117,  0.32813,  1.00,  1.00,  1.00,  1.00
29, 165,  103.00,  98.00,  0.4375,  0.32813,  1.00,  1.00,  1.00,  1.00
30, 166,  111.00,  92.00,  0.23438,  0.4375,  1.00,  1.00,  1.00,  1.00
31, 167,  116.00,  92.00,  0.24414,  0.4375,  1.00,  1.00,  1.00,  1.00
32, 168,  116.00,  98.00,  0.24414,  0.53125,  1.00,  1.00,  1.00,  1.00
33, 166,  111.00,  92.00,  0.23438,  0.4375,  1.00,  1.00,  1.00,  1.00
34, 168,  116.00,  98.00,  0.24414,  0.53125,  1.00,  1.00,  1.00,  1.00
35, 169,  111.00,  98.00,  0.23438,  0.53125,  1.00,  1.00,  1.00,  1.00
36, 170,  118.00,  92.00,  0.21094,  0.4375,  1.00,  1.00,  1.00,  1.00
37, 171,  123.00,  92.00,  0.2207,  0.4375,  1.00,  1.00,  1.00,  1.00
38, 172,  123.00,  98.00,  0.2207,  0.53125,  1.00,  1.00,  1.00,  1.00
39, 170,  118.00,  92.00,  0.21094,  0.4375,  1.00,  1.00,  1.00,  1.00
40, 172,  123.00,  98.00,  0.2207,  0.53125,  1.00,  1.00,  1.00,  1.00
41, 173,  118.00,  98.00,  0.21094,  0.53125,  1.00,  1.00,  1.00,  1.00
42, 174,  126.00,  90.00,  0.99023,  0.32813,  1.00,  1.00,  1.00,  1.00
43, 175,  130.00,  90.00,  0.99805,  0.32813,  1.00,  1.00,  1.00,  1.00
44, 176,  130.00,  98.00,  0.99805,  0.45313,  1.00,  1.00,  1.00,  1.00
45, 174,  126.00,  90.00,  0.99023,  0.32813,  1.00,  1.00,  1.00,  1.00
46, 176,  130.00,  98.00,  0.99805,  0.45313,  1.00,  1.00,  1.00,  1.00
47, 177,  126.00,  98.00,  0.99023,  0.45313,  1.00,  1.00,  1.00,  1.00
